"year","region","var1","freq","perc","use"
2023,"addis_ababa",1,0.407032832815173,40.7032832815173,1
2023,"addis_ababa",1,0.592967167184827,59.2967167184827,0
2023,"afar",1,0.0890687372469124,8.90687372469124,1
2023,"afar",1,0.910931262753088,91.0931262753088,0
2023,"amhara",1,0.299337878465504,29.9337878465504,1
2023,"amhara",1,0.700662121534496,70.0662121534496,0
2023,"benishangul_gumuz",1,0.272443060412325,27.2443060412325,1
2023,"benishangul_gumuz",1,0.727556939587675,72.7556939587675,0
2023,"central",1,0.28113790549042,28.113790549042,1
2023,"central",1,0.71886209450958,71.886209450958,0
2023,"dire_dawa",1,0.37799589317752,37.799589317752,1
2023,"dire_dawa",1,0.62200410682248,62.200410682248,0
2023,"gambela",1,0.313792676919378,31.3792676919378,1
2023,"gambela",1,0.686207323080622,68.6207323080622,0
2023,"harari",1,0.164716727738415,16.4716727738415,1
2023,"harari",1,0.835283272261585,83.5283272261585,0
2023,"oromia",1,0.268111892155625,26.8111892155625,1
2023,"oromia",1,0.731888107844375,73.1888107844375,0
2023,"sidama",1,0.114991197774282,11.4991197774282,1
2023,"sidama",1,0.885008802225718,88.5008802225718,0
2023,"somali",1,0.0147438597393874,1.47438597393874,1
2023,"somali",1,0.985256140260613,98.5256140260613,0
2023,"south",1,0.343481657770374,34.3481657770374,1
2023,"south",1,0.656518342229626,65.6518342229626,0
2023,"southwest",1,0.145007435153572,14.5007435153572,1
2023,"southwest",1,0.854992564846428,85.4992564846428,0
2023,"tigray",1,0.201559632381112,20.1559632381112,1
2023,"tigray",1,0.798440367618888,79.8440367618888,0
